region,year,sex,age_gr,population
geneve,2012,Both,70 to 79,32375
geneve,2012,Both,80 to 89,18964
geneve,2012,Both,90 to 99,4531
geneve,2012,Both,Overall,460534
geneve,2012,Female,0 to 9,21431
geneve,2012,Female,10 to 19,24547
geneve,2012,Female,100 and over,244
geneve,2012,Female,20 to 29,29337
geneve,2012,Female,30 to 39,36310
geneve,2012,Female,40 to 49,37490
geneve,2012,Female,50 to 59,30570
geneve,2012,Female,60 to 69,25031
geneve,2012,Female,70 to 79,18156
geneve,2012,Female,80 to 89,11938
geneve,2012,Female,90 to 99,3301
geneve,2012,Female,Overall,238355
geneve,2012,Male,0 to 9,22171
geneve,2012,Male,10 to 19,25948
geneve,2012,Male,100 and over,54
geneve,2012,Male,20 to 29,29100
geneve,2012,Male,30 to 39,34653
geneve,2012,Male,40 to 49,36183
geneve,2012,Male,50 to 59,29706
geneve,2012,Male,60 to 69,21889
geneve,2012,Male,70 to 79,14219
geneve,2012,Male,80 to 89,7026
geneve,2012,Male,90 to 99,1230
geneve,2012,Male,Overall,222179
geneve,2013,Both,0 to 9,43734
geneve,2013,Both,10 to 19,49784
geneve,2013,Both,100 and over,309
geneve,2013,Both,20 to 29,59101
geneve,2013,Both,30 to 39,70821
geneve,2013,Both,40 to 49,73302
geneve,2013,Both,50 to 59,61997
geneve,2013,Both,60 to 69,46745
geneve,2013,Both,70 to 79,33227
geneve,2013,Both,80 to 89,19294
geneve,2013,Both,90 to 99,4787
geneve,2013,Both,Overall,463101
geneve,2013,Female,0 to 9,21401
geneve,2013,Female,10 to 19,24347
geneve,2013,Female,100 and over,254
geneve,2013,Female,20 to 29,29554
geneve,2013,Female,30 to 39,36144
geneve,2013,Female,40 to 49,37257
geneve,2013,Female,50 to 59,31340
geneve,2013,Female,60 to 69,24924
geneve,2013,Female,70 to 79,18586
geneve,2013,Female,80 to 89,12072
geneve,2013,Female,90 to 99,3485
geneve,2013,Female,Overall,239364
geneve,2013,Male,0 to 9,22333
geneve,2013,Male,10 to 19,25437
geneve,2013,Male,100 and over,55
geneve,2013,Male,20 to 29,29547
geneve,2013,Male,30 to 39,34677
geneve,2013,Male,40 to 49,36045
geneve,2013,Male,50 to 59,30657
geneve,2013,Male,60 to 69,21821
geneve,2013,Male,70 to 79,14641
geneve,2013,Male,80 to 89,7222
geneve,2013,Male,90 to 99,1302
geneve,2013,Male,Overall,223737
geneve,2014,Both,0 to 9,44190
geneve,2014,Both,10 to 19,50134
geneve,2014,Both,100 and over,293
geneve,2014,Both,20 to 29,60118
geneve,2014,Both,30 to 39,71207
geneve,2014,Both,40 to 49,73427
geneve,2014,Both,50 to 59,64383
geneve,2014,Both,60 to 69,46599
geneve,2014,Both,70 to 79,34411
geneve,2014,Both,80 to 89,19732
geneve,2014,Both,90 to 99,4939
geneve,2014,Both,Overall,469433
geneve,2014,Female,0 to 9,21528
geneve,2014,Female,10 to 19,24590
geneve,2014,Female,100 and over,236
geneve,2014,Female,20 to 29,30135
geneve,2014,Female,30 to 39,36286
geneve,2014,Female,40 to 49,37248
geneve,2014,Female,50 to 59,32520
geneve,2014,Female,60 to 69,24814
geneve,2014,Female,70 to 79,19291
geneve,2014,Female,80 to 89,12242
geneve,2014,Female,90 to 99,3596
geneve,2014,Female,Overall,242486
geneve,2014,Male,0 to 9,22662
geneve,2014,Male,10 to 19,25544
geneve,2014,Male,100 and over,57
geneve,2014,Male,20 to 29,29983
geneve,2014,Male,30 to 39,34921
geneve,2014,Male,40 to 49,36179
geneve,2014,Male,50 to 59,31863
geneve,2014,Male,60 to 69,21785
geneve,2014,Male,70 to 79,15120
geneve,2014,Male,80 to 89,7490
geneve,2014,Male,90 to 99,1343
geneve,2014,Male,Overall,226947
geneve,2015,Both,0 to 9,44955
geneve,2015,Both,10 to 19,50556
geneve,2015,Both,100 and over,293
geneve,2015,Both,20 to 29,61077
geneve,2015,Both,30 to 39,72366
geneve,2015,Both,40 to 49,73821
geneve,2015,Both,50 to 59,66778
geneve,2015,Both,60 to 69,46868
geneve,2015,Both,70 to 79,35275
geneve,2015,Both,80 to 89,20198
geneve,2015,Both,90 to 99,5198
geneve,2015,Both,Overall,477385
geneve,2015,Female,0 to 9,21959
geneve,2015,Female,10 to 19,24822
geneve,2015,Female,100 and over,235
geneve,2015,Female,20 to 29,30774
geneve,2015,Female,30 to 39,36801
geneve,2015,Female,40 to 49,37549
geneve,2015,Female,50 to 59,33759
geneve,2015,Female,60 to 69,24923
geneve,2015,Female,70 to 79,19767
geneve,2015,Female,80 to 89,12446
geneve,2015,Female,90 to 99,3744
geneve,2015,Female,Overall,246779
geneve,2015,Male,0 to 9,22996
geneve,2015,Male,10 to 19,25734
geneve,2015,Male,100 and over,58
geneve,2015,Male,20 to 29,30303
geneve,2015,Male,30 to 39,35565
geneve,2015,Male,40 to 49,36272
geneve,2015,Male,50 to 59,33019
geneve,2015,Male,60 to 69,21945
geneve,2015,Male,70 to 79,15508
geneve,2015,Male,80 to 89,7752
geneve,2015,Male,90 to 99,1454
geneve,2015,Male,Overall,230606
geneve,2016,Both,0 to 9,45885
geneve,2016,Both,10 to 19,50914
geneve,2016,Both,100 and over,300
geneve,2016,Both,20 to 29,62136
geneve,2016,Both,30 to 39,73343
geneve,2016,Both,40 to 49,74295
geneve,2016,Both,50 to 59,68817
geneve,2016,Both,60 to 69,46973
geneve,2016,Both,70 to 79,36180
geneve,2016,Both,80 to 89,20571
geneve,2016,Both,90 to 99,5322
geneve,2016,Both,Overall,484736
geneve,2016,Female,0 to 9,22305
geneve,2016,Female,10 to 19,25045
geneve,2016,Female,100 and over,242
geneve,2016,Female,20 to 29,31265
geneve,2016,Female,30 to 39,37413
geneve,2016,Female,40 to 49,37758
geneve,2016,Female,50 to 59,34776
geneve,2016,Female,60 to 69,24864
geneve,2016,Female,70 to 79,20317
geneve,2016,Female,80 to 89,12510
geneve,2016,Female,90 to 99,3814
geneve,2016,Female,Overall,250309
geneve,2016,Male,0 to 9,23580
geneve,2016,Male,10 to 19,25869
geneve,2016,Male,100 and over,58
geneve,2016,Male,20 to 29,30871
geneve,2016,Male,30 to 39,35930
geneve,2016,Male,40 to 49,36537
geneve,2016,Male,50 to 59,34041
geneve,2016,Male,60 to 69,22109
geneve,2016,Male,70 to 79,15863
geneve,2016,Male,80 to 89,8061
geneve,2016,Male,90 to 99,1508
geneve,2016,Male,Overall,234427
geneve,2017,Both,0 to 9,46417
geneve,2017,Both,10 to 19,51537
geneve,2017,Both,100 and over,302
geneve,2017,Both,20 to 29,62791
geneve,2017,Both,30 to 39,73527
geneve,2017,Both,40 to 49,74302
geneve,2017,Both,50 to 59,70195
geneve,2017,Both,60 to 69,47002
geneve,2017,Both,70 to 79,36902
geneve,2017,Both,80 to 89,20960
geneve,2017,Both,90 to 99,5589
geneve,2017,Both,Overall,489524
geneve,2017,Female,0 to 9,22581
geneve,2017,Female,10 to 19,25264
geneve,2017,Female,100 and over,251
geneve,2017,Female,20 to 29,31379
geneve,2017,Female,30 to 39,37423
geneve,2017,Female,40 to 49,37902
geneve,2017,Female,50 to 59,35457
geneve,2017,Female,60 to 69,24672
geneve,2017,Female,70 to 79,20803
geneve,2017,Female,80 to 89,12678
geneve,2017,Female,90 to 99,4002
geneve,2017,Female,Overall,252412
geneve,2017,Male,0 to 9,23836
geneve,2017,Male,10 to 19,26273
geneve,2017,Male,100 and over,51
geneve,2017,Male,20 to 29,31412
geneve,2017,Male,30 to 39,36104
geneve,2017,Male,40 to 49,36400
geneve,2017,Male,50 to 59,34738
geneve,2017,Male,60 to 69,22330
geneve,2017,Male,70 to 79,16099
geneve,2017,Male,80 to 89,8282
geneve,2017,Male,90 to 99,1587
geneve,2017,Male,Overall,237112
geneve,2018,Both,0 to 9,46995
geneve,2018,Both,10 to 19,52159
geneve,2018,Both,100 and over,323
geneve,2018,Both,20 to 29,63236
geneve,2018,Both,30 to 39,74478
geneve,2018,Both,40 to 49,74959
geneve,2018,Both,50 to 59,71442
geneve,2018,Both,60 to 69,47204
geneve,2018,Both,70 to 79,37302
geneve,2018,Both,80 to 89,21351
geneve,2018,Both,90 to 99,5800
geneve,2018,Both,Overall,495249
geneve,2018,Female,0 to 9,22851
geneve,2018,Female,10 to 19,25555
geneve,2018,Female,100 and over,273
geneve,2018,Female,20 to 29,31496
geneve,2018,Female,30 to 39,37908
geneve,2018,Female,40 to 49,38241
geneve,2018,Female,50 to 59,36192
geneve,2018,Female,60 to 69,24650
geneve,2018,Female,70 to 79,21036
geneve,2018,Female,80 to 89,12844
geneve,2018,Female,90 to 99,4089
geneve,2018,Female,Overall,255135
geneve,2018,Male,0 to 9,24144
geneve,2018,Male,10 to 19,26604
geneve,2018,Male,100 and over,50
geneve,2018,Male,20 to 29,31740
geneve,2018,Male,30 to 39,36570
geneve,2018,Male,40 to 49,36718
geneve,2018,Male,50 to 59,35250
geneve,2018,Male,60 to 69,22554
geneve,2018,Male,70 to 79,16266
geneve,2018,Male,80 to 89,8507
geneve,2018,Male,90 to 99,1711
geneve,2018,Male,Overall,240114
geneve,2019,Both,0 to 9,47479
geneve,2019,Both,10 to 19,52477
geneve,2019,Both,100 and over,362
geneve,2019,Both,20 to 29,63251
geneve,2019,Both,30 to 39,74987
geneve,2019,Both,40 to 49,75691
geneve,2019,Both,50 to 59,71960
geneve,2019,Both,60 to 69,48136
geneve,2019,Both,70 to 79,37500
geneve,2019,Both,80 to 89,21687
geneve,2019,Both,90 to 99,5950
geneve,2019,Both,Overall,499480
geneve,2019,Female,0 to 9,23190
geneve,2019,Female,10 to 19,25720
geneve,2019,Female,100 and over,296
geneve,2019,Female,20 to 29,31630
geneve,2019,Female,30 to 39,38199
geneve,2019,Female,40 to 49,38621
geneve,2019,Female,50 to 59,36585
geneve,2019,Female,60 to 69,25038
geneve,2019,Female,70 to 79,21163
geneve,2019,Female,80 to 89,12998
geneve,2019,Female,90 to 99,4192
geneve,2019,Female,Overall,257632
geneve,2019,Male,0 to 9,24289
geneve,2019,Male,10 to 19,26757
geneve,2019,Male,100 and over,66
geneve,2019,Male,20 to 29,31621
geneve,2019,Male,30 to 39,36788
geneve,2019,Male,40 to 49,37070
geneve,2019,Male,50 to 59,35375
geneve,2019,Male,60 to 69,23098
geneve,2019,Male,70 to 79,16337
geneve,2019,Male,80 to 89,8689
geneve,2019,Male,90 to 99,1758
geneve,2019,Male,Overall,241848
geneve,2020,Both,0 to 9,47627
geneve,2020,Both,10 to 19,52682
geneve,2020,Both,100 and over,417
geneve,2020,Both,20 to 29,63448
geneve,2020,Both,30 to 39,75755
geneve,2020,Both,40 to 49,76472
geneve,2020,Both,50 to 59,72784
geneve,2020,Both,60 to 69,48962
geneve,2020,Both,70 to 79,37800
geneve,2020,Both,80 to 89,21916
geneve,2020,Both,90 to 99,6265
geneve,2020,Both,Overall,504128
geneve,2020,Female,0 to 9,23161
geneve,2020,Female,10 to 19,25903
geneve,2020,Female,100 and over,336
geneve,2020,Female,20 to 29,31784
geneve,2020,Female,30 to 39,38473
geneve,2020,Female,40 to 49,38999
geneve,2020,Female,50 to 59,37145
geneve,2020,Female,60 to 69,25319
geneve,2020,Female,70 to 79,21402
geneve,2020,Female,80 to 89,13067
geneve,2020,Female,90 to 99,4355
geneve,2020,Female,Overall,259944
geneve,2020,Male,0 to 9,24466
geneve,2020,Male,10 to 19,26779
geneve,2020,Male,100 and over,81
