region,year,sex,age_gr,population
norway,2015,Female,Overall,2577929
norway,2015,Male,0 to 9,320930
norway,2015,Male,10 to 19,325244
norway,2015,Male,100 and over,0
norway,2015,Male,20 to 29,358873
norway,2015,Male,30 to 39,356679
norway,2015,Male,40 to 49,384614
norway,2015,Male,50 to 59,335952
norway,2015,Male,60 to 69,284469
norway,2015,Male,70 to 79,163430
norway,2015,Male,80 to 89,69885
norway,2015,Male,90 to 99,11895
norway,2015,Male,Overall,2611971
norway,2016,Both,0 to 9,626441
norway,2016,Both,10 to 19,635315
norway,2016,Both,100 and over,0
norway,2016,Both,20 to 29,708291
norway,2016,Both,30 to 39,696847
norway,2016,Both,40 to 49,744009
norway,2016,Both,50 to 59,666141
norway,2016,Both,60 to 69,570492
norway,2016,Both,70 to 79,368119
norway,2016,Both,80 to 89,176226
norway,2016,Both,90 to 99,44278
norway,2016,Both,Overall,5236159
norway,2016,Female,0 to 9,304907
norway,2016,Female,10 to 19,309132
norway,2016,Female,100 and over,0
norway,2016,Female,20 to 29,345396
norway,2016,Female,30 to 39,337440
norway,2016,Female,40 to 49,361310
norway,2016,Female,50 to 59,325195
norway,2016,Female,60 to 69,284688
norway,2016,Female,70 to 79,193160
norway,2016,Female,80 to 89,105852
norway,2016,Female,90 to 99,31955
norway,2016,Female,Overall,2599035
norway,2016,Male,0 to 9,321534
norway,2016,Male,10 to 19,326183
norway,2016,Male,100 and over,0
norway,2016,Male,20 to 29,362895
norway,2016,Male,30 to 39,359407
norway,2016,Male,40 to 49,382699
norway,2016,Male,50 to 59,340946
norway,2016,Male,60 to 69,285804
norway,2016,Male,70 to 79,174959
norway,2016,Male,80 to 89,70374
norway,2016,Male,90 to 99,12323
norway,2016,Male,Overall,2637124
norway,2017,Both,0 to 9,624778
norway,2017,Both,10 to 19,637034
norway,2017,Both,100 and over,0
norway,2017,Both,20 to 29,712593
norway,2017,Both,30 to 39,704205
norway,2017,Both,40 to 49,738399
norway,2017,Both,50 to 59,675639
norway,2017,Both,60 to 69,571497
norway,2017,Both,70 to 79,390959
norway,2017,Both,80 to 89,177216
norway,2017,Both,90 to 99,44650
norway,2017,Both,Overall,5276970
norway,2017,Female,0 to 9,303918
norway,2017,Female,10 to 19,309590
norway,2017,Female,100 and over,0
norway,2017,Female,20 to 29,347008
norway,2017,Female,30 to 39,341847
norway,2017,Female,40 to 49,359098
norway,2017,Female,50 to 59,329727
norway,2017,Female,60 to 69,285255
norway,2017,Female,70 to 79,204115
norway,2017,Female,80 to 89,105667
norway,2017,Female,90 to 99,31994
norway,2017,Female,Overall,2618219
norway,2017,Male,0 to 9,320860
norway,2017,Male,10 to 19,327444
norway,2017,Male,100 and over,0
norway,2017,Male,20 to 29,365585
norway,2017,Male,30 to 39,362358
norway,2017,Male,40 to 49,379301
norway,2017,Male,50 to 59,345912
norway,2017,Male,60 to 69,286242
norway,2017,Male,70 to 79,186844
norway,2017,Male,80 to 89,71549
norway,2017,Male,90 to 99,12656
norway,2017,Male,Overall,2658751
norway,2018,Both,0 to 9,619084
