region,year,sex,age_gr,population
belgium,2017,Male,100 and over,512
belgium,2017,Both,20 to 29,2822738
belgium,2017,Female,20 to 29,1403568
belgium,2017,Male,20 to 29,1419170
belgium,2017,Both,30 to 39,2936928
belgium,2017,Female,30 to 39,1466552
belgium,2017,Male,30 to 39,1470376
belgium,2017,Both,40 to 49,3042142
belgium,2017,Female,40 to 49,1503208
belgium,2017,Male,40 to 49,1538934
belgium,2017,Both,50 to 59,3180628
belgium,2017,Female,50 to 59,1583834
belgium,2017,Male,50 to 59,1596794
belgium,2017,Both,60 to 69,2590638
belgium,2017,Female,60 to 69,1325830
belgium,2017,Male,60 to 69,1264808
belgium,2017,Both,70 to 79,1716582
belgium,2017,Female,70 to 79,933562
belgium,2017,Male,70 to 79,783020
belgium,2017,Both,80 to 89,1046588
belgium,2017,Female,80 to 89,647460
belgium,2017,Male,80 to 89,399128
belgium,2017,Both,90 to 99,205644
belgium,2017,Female,90 to 99,150114
belgium,2017,Male,90 to 99,55530
belgium,2018,Both,0 to 9,2575644
belgium,2018,Female,0 to 9,1257434
belgium,2018,Male,0 to 9,1318210
belgium,2018,Both,10 to 19,2535112
belgium,2018,Female,10 to 19,1238262
belgium,2018,Male,10 to 19,1296850
belgium,2018,Both,100 and over,3212
belgium,2018,Female,100 and over,2816
belgium,2018,Male,100 and over,396
belgium,2018,Both,20 to 29,2825790
belgium,2018,Female,20 to 29,1403268
belgium,2018,Male,20 to 29,1422522
belgium,2018,Both,30 to 39,2950078
belgium,2018,Female,30 to 39,1473784
belgium,2018,Male,30 to 39,1476294
belgium,2018,Both,40 to 49,3023320
belgium,2018,Female,40 to 49,1496368
belgium,2018,Male,40 to 49,1526952
belgium,2018,Both,50 to 59,3186714
belgium,2018,Female,50 to 59,1584730
belgium,2018,Male,50 to 59,1601984
belgium,2018,Both,60 to 69,2619302
belgium,2018,Female,60 to 69,1339470
belgium,2018,Male,60 to 69,1279832
belgium,2018,Both,70 to 79,1762564
belgium,2018,Female,70 to 79,955364
belgium,2018,Male,70 to 79,807200
belgium,2018,Both,80 to 89,1056778
belgium,2018,Female,80 to 89,649484
belgium,2018,Male,80 to 89,407294
belgium,2018,Both,90 to 99,213626
belgium,2018,Female,90 to 99,155348
belgium,2018,Male,90 to 99,58278
belgium,2019,Both,0 to 9,2556604
belgium,2019,Female,0 to 9,1249042
belgium,2019,Male,0 to 9,1307562
belgium,2019,Both,10 to 19,2567154
belgium,2019,Female,10 to 19,1253138
belgium,2019,Male,10 to 19,1314016
belgium,2019,Both,100 and over,2974
belgium,2019,Female,100 and over,2554
belgium,2019,Male,100 and over,420
belgium,2019,Both,20 to 29,2820116
belgium,2019,Female,20 to 29,1398894
belgium,2019,Male,20 to 29,1421222
belgium,2019,Both,30 to 39,2967116
belgium,2019,Female,30 to 39,1483294
belgium,2019,Male,30 to 39,1483822
belgium,2019,Both,40 to 49,3013788
belgium,2019,Female,40 to 49,1492276
belgium,2019,Male,40 to 49,1521512
belgium,2019,Both,50 to 59,3186994
belgium,2019,Female,50 to 59,1583504
belgium,2019,Male,50 to 59,1603490
belgium,2019,Both,60 to 69,2651456
belgium,2019,Female,60 to 69,1354588
belgium,2019,Male,60 to 69,1296868
belgium,2019,Both,70 to 79,1805608
belgium,2019,Female,70 to 79,975234
belgium,2019,Male,70 to 79,830374
belgium,2019,Both,80 to 89,1069302
belgium,2019,Female,80 to 89,653512
belgium,2019,Male,80 to 89,415790
belgium,2019,Both,90 to 99,221700
belgium,2019,Female,90 to 99,160320
belgium,2019,Male,90 to 99,61380
belgium,2020,Both,0 to 9,2538136
belgium,2020,Female,0 to 9,1240874
belgium,2020,Male,0 to 9,1297262
belgium,2020,Both,10 to 19,2600508
belgium,2020,Female,10 to 19,1269130
belgium,2020,Male,10 to 19,1331378
belgium,2020,Both,100 and over,3588
belgium,2020,Female,100 and over,3044
belgium,2020,Male,100 and over,544
belgium,2020,Both,20 to 29,2815290
belgium,2020,Female,20 to 29,1396260
belgium,2020,Male,20 to 29,1419030
belgium,2020,Both,30 to 39,2984580
belgium,2020,Female,30 to 39,1493738
belgium,2020,Male,30 to 39,1490842
belgium,2020,Both,40 to 49,3009078
belgium,2020,Female,40 to 49,1490912
belgium,2020,Male,40 to 49,1518166
belgium,2020,Both,50 to 59,3181256
belgium,2020,Female,50 to 59,1578568
belgium,2020,Male,50 to 59,1602688
belgium,2020,Both,60 to 69,2694278
