region,year,sex,age_gr,population
belgium,2015,Male,40 to 49,789296
belgium,2015,Male,50 to 59,784425
belgium,2015,Male,60 to 69,613599
belgium,2015,Male,70 to 79,372899
belgium,2015,Male,80 to 89,192951
belgium,2015,Male,90 to 99,24479
belgium,2015,Male,Overall,5505094
belgium,2016,Both,0 to 9,1294251
belgium,2016,Both,10 to 19,1247196
belgium,2016,Both,100 and over,1860
belgium,2016,Both,20 to 29,1410276
belgium,2016,Both,30 to 39,1461501
belgium,2016,Both,40 to 49,1537293
belgium,2016,Both,50 to 59,1581556
belgium,2016,Both,60 to 69,1284393
belgium,2016,Both,70 to 79,832851
belgium,2016,Both,80 to 89,518840
belgium,2016,Both,90 to 99,97893
belgium,2016,Both,Overall,11267910
belgium,2016,Female,0 to 9,632291
belgium,2016,Female,10 to 19,610168
belgium,2016,Female,100 and over,1588
belgium,2016,Female,20 to 29,702526
belgium,2016,Female,30 to 39,729253
belgium,2016,Female,40 to 49,758911
belgium,2016,Female,50 to 59,788756
belgium,2016,Female,60 to 69,657216
belgium,2016,Female,70 to 79,454998
belgium,2016,Female,80 to 89,322983
belgium,2016,Female,90 to 99,71688
belgium,2016,Female,Overall,5730378
belgium,2016,Male,0 to 9,661960
belgium,2016,Male,10 to 19,637028
belgium,2016,Male,100 and over,272
belgium,2016,Male,20 to 29,707750
belgium,2016,Male,30 to 39,732248
belgium,2016,Male,40 to 49,778382
belgium,2016,Male,50 to 59,792800
belgium,2016,Male,60 to 69,627177
belgium,2016,Male,70 to 79,377853
belgium,2016,Male,80 to 89,195857
belgium,2016,Male,90 to 99,26205
belgium,2016,Male,Overall,5537532
belgium,2017,Both,0 to 9,1292785
belgium,2017,Both,10 to 19,1256601
belgium,2017,Both,100 and over,1758
belgium,2017,Both,20 to 29,1411369
belgium,2017,Both,30 to 39,1468464
belgium,2017,Both,40 to 49,1521071
belgium,2017,Both,50 to 59,1590314
belgium,2017,Both,60 to 69,1295319
belgium,2017,Both,70 to 79,858291
belgium,2017,Both,80 to 89,523294
belgium,2017,Both,90 to 99,102822
belgium,2017,Both,Overall,11322088
belgium,2017,Female,0 to 9,631257
belgium,2017,Female,10 to 19,614260
belgium,2017,Female,100 and over,1502
belgium,2017,Female,20 to 29,701784
belgium,2017,Female,30 to 39,733276
belgium,2017,Female,40 to 49,751604
belgium,2017,Female,50 to 59,791917
belgium,2017,Female,60 to 69,662915
belgium,2017,Female,70 to 79,466781
belgium,2017,Female,80 to 89,323730
belgium,2017,Female,90 to 99,75057
belgium,2017,Female,Overall,5754083
belgium,2017,Male,0 to 9,661528
belgium,2017,Male,10 to 19,642341
belgium,2017,Male,100 and over,256
belgium,2017,Male,20 to 29,709585
belgium,2017,Male,30 to 39,735188
belgium,2017,Male,40 to 49,769467
belgium,2017,Male,50 to 59,798397
belgium,2017,Male,60 to 69,632404
belgium,2017,Male,70 to 79,391510
belgium,2017,Male,80 to 89,199564
belgium,2017,Male,90 to 99,27765
belgium,2017,Male,Overall,5568005
belgium,2018,Both,0 to 9,1287822
belgium,2018,Both,10 to 19,1267556
belgium,2018,Both,100 and over,1606
belgium,2018,Both,20 to 29,1412895
belgium,2018,Both,30 to 39,1475039
belgium,2018,Both,40 to 49,1511660
belgium,2018,Both,50 to 59,1593357
belgium,2018,Both,60 to 69,1309651
belgium,2018,Both,70 to 79,881282
belgium,2018,Both,80 to 89,528389
belgium,2018,Both,90 to 99,106813
belgium,2018,Both,Overall,11376070
belgium,2018,Female,0 to 9,628717
belgium,2018,Female,10 to 19,619131
belgium,2018,Female,100 and over,1408
belgium,2018,Female,20 to 29,701634
belgium,2018,Female,30 to 39,736892
belgium,2018,Female,40 to 49,748184
belgium,2018,Female,50 to 59,792365
belgium,2018,Female,60 to 69,669735
belgium,2018,Female,70 to 79,477682
belgium,2018,Female,80 to 89,324742
belgium,2018,Female,90 to 99,77674
belgium,2018,Female,Overall,5778164
belgium,2018,Male,0 to 9,659105
belgium,2018,Male,10 to 19,648425
belgium,2018,Male,100 and over,198
belgium,2018,Male,20 to 29,711261
belgium,2018,Male,30 to 39,738147
belgium,2018,Male,40 to 49,763476
belgium,2018,Male,50 to 59,800992
belgium,2018,Male,60 to 69,639916
belgium,2018,Male,70 to 79,403600
belgium,2018,Male,80 to 89,203647
belgium,2018,Male,90 to 99,29139
belgium,2018,Male,Overall,5597906
belgium,2019,Both,0 to 9,1278302
belgium,2019,Both,10 to 19,1283577
belgium,2019,Both,100 and over,1487
belgium,2019,Both,20 to 29,1410058
belgium,2019,Both,30 to 39,1483558
belgium,2019,Both,40 to 49,1506894
belgium,2019,Both,50 to 59,1593497
belgium,2019,Both,60 to 69,1325728
belgium,2019,Both,70 to 79,902804
belgium,2019,Both,80 to 89,534651
belgium,2019,Both,90 to 99,110850
belgium,2019,Both,Overall,11431406
belgium,2019,Female,0 to 9,624521
belgium,2019,Female,10 to 19,626569
belgium,2019,Female,100 and over,1277
belgium,2019,Female,20 to 29,699447
belgium,2019,Female,30 to 39,741647
belgium,2019,Female,40 to 49,746138
belgium,2019,Female,50 to 59,791752
belgium,2019,Female,60 to 69,677294
belgium,2019,Female,70 to 79,487617
belgium,2019,Female,80 to 89,326756
belgium,2019,Female,90 to 99,80160
belgium,2019,Female,Overall,5803178
belgium,2019,Male,0 to 9,653781
belgium,2019,Male,10 to 19,657008
belgium,2019,Male,100 and over,210
belgium,2019,Male,20 to 29,710611
belgium,2019,Male,30 to 39,741911
belgium,2019,Male,40 to 49,760756
belgium,2019,Male,50 to 59,801745
belgium,2019,Male,60 to 69,648434
belgium,2019,Male,70 to 79,415187
belgium,2019,Male,80 to 89,207895
belgium,2019,Male,90 to 99,30690
belgium,2019,Male,Overall,5628228
belgium,2020,Both,0 to 9,1269068
belgium,2020,Both,10 to 19,1300254
belgium,2020,Both,100 and over,1794
belgium,2020,Both,20 to 29,1407645
belgium,2020,Both,30 to 39,1492290
